"","Broadleaved woodland","Coniferous Woodland","Arable and Horticulture","Improved Grassland","Neutral Grassland","Calcareous Grassland","Acid grassland","Fen, Marsh and Swamp","Freshwater","Mountain_Heath_Bog","UrbanSuburban","MEM1","MEM2","MEM3","MEM4","MEM5","MEM6","MEM7","MEM8","MEM9","MEM10"
"SD80",9.26,0.01,4.78,32.1,0,0,0,0.02,1.03,0.09,52.84,-0.322720028339492,-5.53769602868957e-05,-0.176149361709836,0.988623282526438,-1.21617977334855,-1.27145606834759,-1.14376581082227,-0.856748288201382,-0.377887996931735,-0.597026923352583
"SD81",8.82,0.04,1.26,31.51,0.11,0,17.69,0,1.16,14.37,25.3,-0.321387835230377,-5.67126452875721e-05,-0.17060309556617,0.893081990632536,-1.10239350058454,-1.15333939003151,-1.03776575351773,-0.777456894042756,-0.342929505176961,-0.543241057860347
"SD82",5.05,0.36,0.08,18.48,0.59,0,51.15,0,0.64,16.91,6.92,-0.318995469021948,-5.70425518899247e-05,-0.163019035792624,0.792508627249301,-0.981216810761806,-1.02723471976523,-0.92449777026387,-0.692687801756019,-0.305549908911575,-0.485168588708297
"SD83",6.97,0.39,1.74,60.21,0.07,0.05,3.76,0,0.68,3.15,23.07,-0.314700235840552,-5.64443649018018e-05,-0.153004927952909,0.687492936592058,-0.853471599749208,-0.894019451947741,-0.804757809302937,-0.603039442537387,-0.266013656201679,-0.423262560389087
"SD84",3.94,0.28,0.21,75.46,0.02,0.01,8.7,0,0.96,6.23,4.37,-0.306989572770839,-5.4776987365137e-05,-0.140042943923622,0.57865108553019,-0.720024785509276,-0.754620948237327,-0.679387743507887,-0.509145026809974,-0.224600600020562,-0.358006161586406
"SD85",3.98,0.06,1.19,90.52,0,1.11,2.33,0.14,0.11,0.02,0.67,-0.293148583771295,-5.16472847415629e-05,-0.123462929995352,0.466622060011879,-0.581782442775592,-0.610010101286907,-0.549269469032705,-0.411668085069754,-0.18160402325513,-0.289908964455643
"SD86",1.88,0.72,0.41,22.79,0,35.9,20.78,0.05,0.64,15.44,1.48,-0.26830432582197,-4.63174177902318e-05,-0.102407785665196,0.352063923478813,-0.439683666092732,-0.461194589098132,-0.415318716796796,-0.311297790230474,-0.137328566730664,-0.219502954611625
"SD87",0.13,6.26,0.05,7.43,0.2,17.63,19.63,0,0.05,48.65,0.13,-0.223710415200058,-3.75309222543518e-05,-0.0757891850546575,0.235649959121598,-0.294694202683467,-0.309211866748802,-0.278478620125692,-0.208744094364313,-0.0920880748568943,-0.147338382683835
"SD88",0.43,9.86,0.02,7.47,0.31,9.95,45.57,0,0,26.29,0.19,-0.14366810453453,-2.32165410598374e-05,-0.0422313541220884,0.118064718545157,-0.147799898231516,-0.155121944144022,-0.139713083646869,-0.104732714092866,-0.0462033741022698,-0.0739794697324128
"SD90",10.76,0,1.13,35.03,0.17,0.01,10.09,0,0.44,5.12,37.52,-0.322720430497002,-5.21028430265551e-05,-0.174150175499237,0.789060638246774,-0.176552778729956,0.66067703445383,1.29934125140389,1.39020478468396,0.728745463499404,-1.04996425098909
