SciName,CommName
Pieris brassicae,Large White
Pieris napi,Green-veined White
Celastrina argiolus,Holly Blue
Lycaena phlaeas,Small Copper
Lasiommata megera,Wall
Polyommatus icarus,Common Blue
Coenonympha pamphilus,Small Heath
Gonepteryx rhamni,Brimstone
Aglais urticae,Small Tortoiseshell
Pieris rapae,Small White
Anthocharis cardamines,Orange-tip
Callophrys rubi,Green Hairstreak
Aglais io,Peacock
Aricia agestis,Brown Argus
Pararge aegeria,Speckled Wood
Boloria euphrosyne,Pearl-bordered Fritillary
Pyrgus malvae,Grizzled Skipper
Polygonia c-album,Comma
Cupido minimus,Small Blue
Erynnis tages,Dingy Skipper
Hamearis lucina,Duke of Burgundy
Polyommatus bellargus,Adonis Blue
Leptidea sinapis,Wood White
Maniola jurtina,Meadow Brown
Erebia aethiops,Scotch Argus
Vanessa cardui,Painted Lady
Polyommatus coridon,Chalk Hill Blue
Pyronia tithonus,Gatekeeper
Thymelicus sylvestris,Small Skipper
Vanessa atalanta,Red Admiral
Hesperia comma,Silver-spotted Skipper
Thymelicus acteon,Lulworth Skipper
Colias croceus,Clouded Yellow
Hipparchia semele,Grayling
Euphydryas aurinia,Marsh Fritillary
Boloria selene,Small Pearl-bordered Fritillary
Argynnis paphia,Silver-washed Fritillary
Thymelicus lineola,Essex Skipper
Aphantopus hyperantus,Ringlet
Speyeria aglaja,Dark Green Fritillary
Ochlodes sylvanus,Large Skipper
Melanargia galathea,Marbled White
Satyrium w-album,White-letter Hairstreak
Favonius quercus,Purple Hairstreak
Fabriciana adippe,High Brown Fritillary
Plebejus argus,Silver-studded Blue
Melitaea athalia,Heath Fritillary
Aricia artaxerxes,Northern Brown Argus
Papilio machaon,Swallowtail
Coenonympha tullia,Large Heath
Limenitis camilla,White Admiral
Apatura iris,Purple Emperor
Satyrium pruni,Black Hairstreak
Nymphalis antiopa,Camberwell Beauty
Tyria jacobaeae,Cinnabar
Erebia epiphron,Mountain Ringlet
Melitaea cinxia,Glanville Fritillary
Euclidia glyphica,Burnet Companion
Thecla betulae,Brown Hairstreak
Carterocephalus palaemon,Chequered Skipper
Colias hyale,Pale Clouded Yellow
Nymphalis polychloros,Large Tortoiseshell
Odezia atrata,Chimney Sweep
Rheumaptera hastata,Argent & Sable
Pontia daplidice,Bath White
Phengaris arion,Large Blue
Scotopteryx bipunctaria,Chalk Carpet
Lycaena dispar,Large Copper
Colias alfacariensis,Berger's Clouded Yellow
Lampides boeticus,Long-tailed Blue
Anarta myrtilli,Beautiful Yellow Underwing
