OSGR,Lat,Long,CellID_MeanTemps,MeanTemp,CellIDs_LCM,Sea / Estuary,Water (inland),Littoral rock,Littoral sediment,Saltmarsh,Supra-littoral rock,Supra-littoral sediment,Bog (deep peat) ,Dense dwarf shrub heath,Open dwarf shrub heath,Montane habitats,Broad-leaved / mixed woodland ,Coniferous woodland,Improved grassland,Neutral grassland,Setaside grassland,Bracken,Calcareous grassland,Acid grassland,"Fen, marsh, swamp",Arable cereals,Arable horticulture,Arable non-rotational,Suburban / rural developed,Continuous urban,Inland bare ground
SK0053,53.078726,-1.993988,32341,7.659179450610124,662601,0,0,0,0,0,0,0,0,0,3,0,0,0,70,0,0,4,1,0,0,19,0,0,0,0,0
TL5670,52.310311,0.294232,35252,9.70367647316021,720857,0,0,0,0,0,0,0,0,0,0,0,26,0,5,0,2,1,10,0,2,23,13,0,14,0,1
TL6569,52.298692,0.425635,35434,9.746567226309827,721566,0,0,0,0,0,0,0,0,0,0,0,31,1,2,2,0,0,11,0,0,4,44,0,0,0,0
TQ5402,50.801468,0.191141,41371,9.80621619835606,838455,0,0,0,0,0,0,0,0,0,0,0,16,0,27,0,0,0,32,0,0,0,20,0,3,0,0
SU8196,51.661383,-0.823111,37937,9.316081574201666,772582,0,0,0,0,0,0,0,0,0,0,0,15,6,10,0,0,0,10,0,0,19,36,0,1,0,0
SU1163,51.370445,-1.836184,39183,9.006495347464396,795612,0,0,0,0,0,0,0,0,0,0,0,6,0,70,0,0,0,0,0,0,19,0,0,0,0,3
SU8992,51.624212,-0.708503,38118,9.492159593416053,775390,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,4,0,22,0,0,0,27,4,22,1,0
ST5673,51.458795,-2.627497,38812,10.314533735296262,788557,0,0,0,8,1,0,0,0,0,0,0,29,2,9,1,0,0,2,0,0,0,0,0,35,9,0
TQ3707,50.850684,-0.048074,41188,9.767177761226408,834938,0,0,0,0,0,0,0,0,0,0,0,23,0,8,0,10,0,2,0,0,4,34,0,1,3,10
TL2189,52.489892,-0.211975,34705,9.60212940258019,707522,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,39,38,2,3,1,0
SW7117,50.013737,-5.190797,44355,10.50230151650034,897572,0,0,0,0,0,0,0,0,0,0,0,8,0,31,0,0,0,30,0,0,5,20,0,3,0,0
SZ0281,50.633191,-1.966012,42061,10.199618702263965,853003,0,0,0,0,0,0,0,0,1,0,0,12,4,22,0,0,0,17,0,0,1,26,0,0,7,5
SU8210,50.888106,-0.828484,40997,9.41681355184553,832783,0,0,0,0,0,0,0,0,0,0,0,21,18,17,0,0,0,0,0,0,42,0,0,0,0,0
ST5248,51.233696,-2.681721,39711,9.614391630400814,806053,0,0,0,0,0,0,0,0,0,0,0,31,0,53,0,0,0,2,0,0,10,1,0,0,0,0
TQ8285,51.538893,0.630178,38317,10.21833004866027,780383,0,0,0,8,5,0,0,0,0,0,0,6,0,26,0,5,0,23,0,0,13,7,0,0,3,0
SZ0279,50.615206,-1.966025,42241,10.289299836280149,854403,0,0,0,0,0,0,0,0,3,1,0,2,0,15,0,0,0,0,0,0,28,22,0,20,2,2
SY6780,50.623291,-2.460802,42054,10.442273027966039,853668,0,9,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,34,1,0,0,48,1,0
SU8516,50.941612,-0.784439,40818,9.385563954164736,828586,0,0,0,0,0,0,0,0,0,0,0,17,56,6,0,0,0,0,0,0,16,3,0,0,0,0
TL7588,52.466231,0.582069,34716,9.034088277290321,708276,0,0,0,0,0,0,0,0,0,0,0,13,42,0,18,0,0,9,2,1,3,5,0,1,1,0
SD4875,54.172693,-2.790416,27830,8.854025098041514,577149,0,10,0,0,0,0,0,0,0,0,0,34,12,20,0,0,0,5,0,0,0,1,0,3,12,0
TR0349,51.208441,0.91199,39761,9.696798388448007,805604,0,0,0,0,0,0,0,0,0,0,0,38,0,13,0,0,0,6,0,0,20,20,0,0,0,0
TL2080,52.409243,-0.229941,34885,9.564043867090602,713821,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,10,0,0,18,29,0,0,0,0
SK1865,53.186276,-1.724606,31804,7.704387976493572,654219,0,0,0,0,0,0,0,0,0,0,0,24,5,59,0,0,0,9,0,0,0,1,0,0,0,0
TL2079,52.400257,-0.2303,35065,9.511834074985202,714521,0,0,0,0,0,0,0,0,0,0,0,21,27,0,0,0,0,4,0,0,16,24,2,3,0,0
SD4777,54.190564,-2.806082,27830,8.854025098041514,575748,0,0,0,0,0,0,0,0,5,0,0,18,0,25,0,0,0,12,0,0,0,38,0,0,0,0
SU5833,51.09783,-1.165943,40272,9.607674386518589,816659,0,1,0,0,0,0,0,0,0,0,0,7,0,19,0,1,0,16,0,0,21,12,0,10,8,0
TL2181,52.418007,-0.214884,34885,9.564043867090602,713122,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,24,0,3,0,0,58,1,0,0,0,0
SP2520,51.882484,-1.630939,37026,9.186554677745871,755726,0,0,0,0,0,0,0,0,0,0,0,48,1,9,0,1,0,3,0,0,19,14,0,1,0,0
SO7576,52.385976,-2.361399,35036,9.18215462204988,716476,0,0,0,0,0,0,0,0,0,0,0,82,1,2,0,3,0,0,0,0,0,4,0,5,0,0
TM4774,52.312773,1.629655,35270,9.61652099623675,718148,0,0,0,0,0,0,0,0,0,0,0,7,9,2,44,0,0,0,8,0,14,11,0,0,0,0
TL2550,52.13855,-0.167627,35966,9.316690822009596,734826,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,14,0,0,13,28,0,1,0,0
SU6420,50.980305,-1.08258,40633,9.420494797251514,825765,0,0,0,0,0,0,0,0,0,0,0,18,4,29,0,0,0,5,0,0,0,41,0,0,0,0
TF2263,53.154553,-0.169522,32005,9.2230060109393,655723,0,0,0,0,0,0,0,0,0,0,0,28,3,20,0,0,0,0,12,0,12,22,0,0,0,0
TL3175,52.361787,-0.070284,35067,9.63832589775204,717332,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,23,0,0,12,55,0,1,1,0
SJ7484,53.356759,-2.384589,31255,9.307383365443995,640875,0,39,0,0,0,0,0,0,0,0,0,14,1,33,0,0,0,5,0,0,1,0,0,2,1,0
TF1101,52.59986,-0.35516,34163,9.275404133219336,699112,0,0,0,0,0,0,0,0,0,0,0,48,0,2,0,4,0,13,0,0,25,4,0,2,0,0
SD2810,53.586189,-3.081554,30166,NA,622629,0,0,0,20,0,0,60,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0
TF7144,52.970424,0.552455,32735,9.441379028741196,669072,0,1,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,63,2,0,0,0,0
SP8434,52.002519,-0.770483,36677,9.240860060563673,745985,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,2,0,7,0,0,0,0,5,58,3,1
TF5658,53.100751,0.336082,32192,NA,659257,0,1,0,9,16,0,12,0,0,0,0,23,2,1,5,0,0,8,0,0,6,12,0,0,0,0
SU7296,51.662614,-0.953204,37935,9.186300814301266,772573,0,4,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,40,0,0,26,7,0,6,0,0
ST8817,50.956811,-2.165105,40798,9.213587538078652,827789,0,3,0,0,0,0,0,0,0,0,0,10,8,12,0,1,0,31,0,2,9,12,0,5,1,1
SD3877,54.189562,-2.943992,27828,8.642016402292505,575739,0,0,0,0,0,0,0,0,0,0,0,1,0,85,0,0,0,1,0,0,0,11,0,0,0,0
TQ2786,51.562974,-0.162002,38306,10.240403627904039,779628,0,6,0,0,0,0,0,0,0,0,0,36,0,10,30,0,0,4,0,0,0,0,0,3,5,0
TF8745,52.974051,0.791003,32558,9.6163019911520209,668388,2,0,0,45,5,0,3,0,0,0,0,0,29,0,0,0,0,2,0,0,4,6,0,1,0,0
SU7396,51.662485,-0.938749,37935,9.186300814301266,772574,0,2,0,0,0,0,0,0,0,0,0,2,2,37,0,0,0,24,0,0,5,15,0,8,0,0
SU0518,50.965895,-1.923051,40802,9.370119119303366,827106,0,0,0,0,0,0,0,0,0,0,0,6,0,49,0,0,0,28,0,0,6,7,1,0,0,0
SO6009,51.782759,-2.573998,37553,9.28241805791709,763361,0,0,0,0,0,0,0,0,0,0,0,62,16,0,0,0,0,0,0,0,0,18,0,2,0,0
SX7778,50.593336,-3.732046,42216,9.397929168794674,854978,0,0,0,0,0,0,0,0,0,0,0,69,0,14,0,0,0,0,9,0,2,1,0,3,0,0
SP6009,51.780903,-1.12442,37573,9.552454071073933,763461,0,0,0,0,0,0,0,0,0,0,0,51,13,8,0,0,0,20,0,0,0,5,0,0,1,0
TQ2113,50.908193,-0.27325700000000003,41005,10.059225671525107,830722,0,0,0,0,0,0,0,0,0,0,0,16,0,27,0,2,0,17,0,0,3,11,0,18,4,0
TL2384,52.444517,-0.184385,34885,9.564043867090602,711024,0,0,0,0,0,0,0,0,0,0,0,23,0,22,0,0,0,7,0,0,22,24,0,0,0,0
TQ7876,51.45933,0.568013,38676,10.243472977837248,786679,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,5,0,3,0,0,26,35,0,0,0,0
NU1343,55.684795,-1.786857,21903,NA,459614,29,0,0,13,0,0,34,0,0,0,0,0,0,14,6,0,1,0,0,0,0,0,0,0,0,0
SZ1790,50.713871,-1.753497,41704,10.278353873320848,846718,37,0,0,15,2,0,2,0,0,0,0,28,0,1,2,0,0,9,0,0,0,0,0,0,0,0
TF4693,53.417963,0.202943,30930,9.30023602527427,634747,0,0,0,15,58,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0,0,1,0
TG3416,52.695364,1.468893,33647,9.472893274367236,688735,0,0,0,0,0,0,0,0,0,0,0,58,0,2,0,0,0,0,0,11,7,1,0,13,5,0
TR0745,51.171084,0.966865,39762,9.521971444389187,808408,0,0,0,0,0,0,0,0,0,0,0,28,0,21,0,0,0,14,0,0,13,21,0,0,0,0
SD4872,54.145733,-2.789902,28010,9.153516674169706,579249,0,0,0,0,2,0,0,0,0,0,0,24,0,36,0,0,0,5,0,0,0,25,0,1,3,0
SU6022,50.998721,-1.13922,40633,9.420494797251514,824361,0,0,0,0,0,0,0,0,0,0,0,16,0,37,0,6,0,21,0,0,9,9,0,0,0,0
SX3972,50.530204,-4.265929,42388,9.4777373903297,859140,0,0,0,0,0,0,0,0,0,0,0,16,11,46,0,0,0,0,9,0,4,11,0,0,0,0
TR0034,51.07479,0.860755,40301,10.048393360116325,816101,0,8,0,0,0,0,0,0,0,0,0,47,9,5,0,0,0,1,0,0,9,16,0,2,0,0
SU4123,51.009393,-1.409846,40629,9.982416885833391,823642,0,0,0,0,0,0,0,0,0,0,0,32,22,25,3,1,0,5,0,0,1,1,1,5,0,0
NY8828,54.651467,-2.179747,26038,6.151038460404695,540089,0,0,0,0,0,0,0,0,0,2,0,21,2,21,29,0,1,12,6,0,0,0,0,0,0,1
SX3773,50.538638,-4.29456,42388,9.4777373903297,858438,0,0,0,0,0,0,0,0,0,0,0,1,27,40,0,0,0,6,0,0,10,14,0,0,0,0
SX6698,50.770679,-3.894596,41494,9.534125989522416,840967,0,0,0,0,0,0,0,0,0,0,0,26,0,63,0,0,0,0,0,0,5,1,0,2,0,0
ST9051,51.262577,-2.137536,39539,9.144984038004607,803991,0,0,0,0,0,0,0,0,0,0,0,12,0,49,0,0,0,6,0,0,0,4,0,2,0,24
SO9173,52.359491,-2.126238,35219,9.22873512667924,718592,0,0,0,0,0,0,0,0,0,0,0,67,1,9,0,8,0,11,0,0,0,0,0,1,0,0
SZ5090,50.711947,-1.286116,41711,10.556413946823982,846751,11,0,0,0,0,0,0,0,0,0,0,13,0,36,0,1,0,10,0,0,6,3,0,10,5,0
SO8654,52.188575,-2.198891,35938,9.783134849104608,731887,0,0,0,0,0,0,0,0,0,0,0,17,3,6,0,0,0,0,0,0,0,1,0,63,6,1
SE3518,53.661788,-1.464259,30008,9.263254886706251,617136,0,0,0,0,0,0,0,0,0,0,0,22,1,14,9,0,0,0,0,0,3,33,0,10,2,1
SP3861,52.250337,-1.437472,35588,9.183651141620453,727039,0,0,0,0,0,0,0,0,0,0,0,19,6,19,0,0,0,21,0,0,13,18,0,0,0,0
ST9015,50.938863,-2.136577,40799,9.059737910249027,829191,0,0,0,0,0,0,0,0,0,0,0,40,36,7,0,3,0,0,0,0,10,2,0,0,0,0
TL1614,51.816995,-0.311279,37404,9.349909304804125,760017,0,0,0,0,0,0,0,0,0,0,0,11,0,34,0,2,0,5,0,0,5,25,5,10,0,0
SZ5778,50.603396,-1.188843,42252,9.825741384487763,855158,0,0,0,0,0,0,0,0,0,1,0,11,0,23,3,2,0,12,0,12,0,13,1,16,0,0
