OSGR,SciName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TQ2786,Aglais io,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
TQ2786,Aglais urticae,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0
TQ2786,Anthocharis cardamines,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQ2786,Apatura iris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Aphantopus hyperantus,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1
TQ2786,Argynnis paphia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Aricia agestis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Boloria euphrosyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Boloria selene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Callophrys rubi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Celastrina argiolus,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
TQ2786,Coenonympha pamphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
TQ2786,Cupido minimus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Erynnis tages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Euphydryas aurinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Favonius quercus,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
TQ2786,Gonepteryx rhamni,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQ2786,Hamearis lucina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Hesperia comma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Hipparchia semele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Lasiommata megera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Leptidea sinapis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Limenitis camilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Lycaena phlaeas,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
TQ2786,Melanargia galathea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TQ2786,Ochlodes sylvanus,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
TQ2786,Pararge aegeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQ2786,Pieris brassicae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQ2786,Pieris napi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQ2786,Pieris rapae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQ2786,Polygonia c-album,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQ2786,Polyommatus bellargus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Polyommatus coridon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Polyommatus icarus,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
TQ2786,Pyrgus malvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Pyronia tithonus,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
TQ2786,Satyrium w-album,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Speyeria aglaja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Thecla betulae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TQ2786,Thymelicus lineola,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
TQ2786,Thymelicus sylvestris,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
TQ2786,Vanessa atalanta,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Aglais io,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Aglais urticae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Anthocharis cardamines,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
TL0630,Apatura iris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TL0630,Aphantopus hyperantus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Argynnis paphia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Aricia agestis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Boloria euphrosyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Boloria selene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Callophrys rubi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Celastrina argiolus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Coenonympha pamphilus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Cupido minimus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
TL0630,Erynnis tages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Euphydryas aurinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Favonius quercus,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0
TL0630,Gonepteryx rhamni,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Hamearis lucina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Hesperia comma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Hipparchia semele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Lasiommata megera,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Leptidea sinapis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Limenitis camilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Lycaena phlaeas,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
TL0630,Melanargia galathea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Ochlodes sylvanus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Pararge aegeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Pieris brassicae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Pieris napi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Pieris rapae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Polygonia c-album,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Polyommatus bellargus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Polyommatus coridon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Polyommatus icarus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Pyrgus malvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Pyronia tithonus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Satyrium w-album,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Speyeria aglaja,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Thecla betulae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TL0630,Thymelicus lineola,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Thymelicus sylvestris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TL0630,Vanessa atalanta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQ8285,Aglais io,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TQ8285,Aglais urticae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
