Disp,comp_str,R_max,EnvNoiseSigma,FalseAbsenceFrac,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
1e-5,0.3,5,0.001,0,A,1,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.001,0,A,2,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.001,0,A,3,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.001,0,A,4,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.001,0,A,5,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.001,0,A,6,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.001,0,A,7,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.001,0,A,8,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.001,0,A,9,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.001,0,A,10,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.001,0,A,11,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.001,0,A,12,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.001,0,A,13,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.001,0,A,14,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.001,0,A,15,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.001,0,A,16,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.001,0,A,17,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.001,0,A,18,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.001,0,A,19,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.001,0,A,20,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.001,0,A,21,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.001,0,A,22,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.001,0,A,23,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.001,0,A,24,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.001,0,A,25,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.001,0,A,26,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.001,0,A,27,TrialObsQual,50,0.1,0.01
